morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
nga,tn,nom,s,4,s,nga a,n n,- s,nga,i(i) s,,nga a,s s,- s,nga a,s s,- s,,H2
ngik,tn,nom,d,4,s,ngik,allV,x,ngik ngik,iallV(i) n,,ngik,sallV,x,ngik,sallV,x,,H2
ngit,tn,nom,p,4,s,ngit,n,,ngit,i(i) s,,ngit,s,,ngit,s,,,H2
ngata,tn,gen,s,4,s,ngata,n,,ngata,i(i) s,,ngata,s,,ngata,s,,,H2
ngita,tn,gen,d,4,s,ngita ngikta,allV allV,x x,ngita ngikta,iallV(i) iallV(i),,ngita ngikta,sallV sallV,x x,ngita ngikta,sallV sallV,x x,,H2
ngita,tn,gen,p,4,s,ngita,n,,ngita ngita,i(i) s,,ngita,s,,ngita,s,,,H2
nganik,tn,acc,s,4,s,nganik anik,n n,- s,nganik nganik,i(i) s,,nganik anik,s s,- s,nganik anik,s s,- s,,H2
ngingnik,tn,acc,d,4,s,ngingnik,allV,x,ngingnik,iallV(i),,ngingnik,sallV,x,ngingnik,sallV ,x,,H2
nginnik,tn,acc,p,4,s,nginnik,n,,nginnik nginnik,i(i) s,,nginnik,s,,nginnik,s,,,H2
nganut,tn,dat,s,4,s,nganut anut,n n,- s,nganut nganut,i(i) s,,nganut anut,s s,- s,nganut anut,s s,- s,,H2
ngingnut,tn,dat,d,4,s,ngingnut,allV,x,ngingnut,iallV(i),,ngingnut,sallV,x,ngingnut,sallV,x,,H2
nginnut,tn,dat,p,4,s,nginnut,n,,nginnut nginnut,i(i) s,,nginnut,s,,nginnut,s,,,H2
nganit,tn,abl,s,4,s,nganit anit,n n,- s,nganit nganit,i(i) s,,nganit anit,s s,- s,nganit anit,s s,- s,,H2
ngingnit,tn,abl,d,4,s,ngingnit,allV,x,ngingnit,iallV(i),,ngingnit,sallV,x,ngingnit,sallV,x,,H2
nginnit,tn,abl,p,4,s,nginnit,n,,nginnit nginnit,i(i) s,,nginnit,s,,nginnit,s,,,H2
ngani,tn,loc,s,4,s,ngani ani,n n,- s,ngani ngani,i(i) s,,ngani ani,s s,- s,ngani ani,s s,- s,,H2
ngingni,tn,loc,d,4,s,ngingni,allV,x,ngingni,iallV(i),,ngingni,sallV,x,ngingni,sallV,x,,H2
nginni,tn,loc,p,4,s,nginni,n,,nginni nginni,i(i) s,,nginni,s,,nginni,s,,,H2
ngatut,tn,sim,s,4,s,ngatut,n,,ngatut ngatut,i(i) s,,ngatut,s,,ngatut,s,,,H2
ngiktitut,tn,sim,d,4,s,ngiktitut ngiktut,allV allV,x x,ngiktitut ngiktut,iallV(i) iallV(i),,ngiktitut ngiktut,sallV sallV,x x,ngiktitut ngiktut,sallV sallV,x x,,H2
ngititut,tn,sim,p,4,s,ngititut,n,,ngititut ngititut,i(i) s,,ngititut,s,,ngititut,s,,,H2
ngagut,tn,via,s,4,s,ngagut agut,n n,- s,ngagut ngagut,i(i) s,,ngagut agut,s s,- s,ngagut agut,s s,- s,,H2
ngiktigut,tn,via,d,4,s,ngiktigut ngikkut,allV allV,x x,ngiktigut ngikkut,iallV(i) iallV(i),,ngiktigut ngikkut,sallV sallV,x x,ngiktigut ngikkut,sallV sallV,x x,,H2
ngitigut,tn,via,p,4,s,ngitigut,n,,ngitigut ngitigut,i(i) s,,ngitigut,s,,ngitigut,s,,,H2
ngak,tn,nom,s,4,d,ngak,n,,ngak,i(i),,ngak,s,,ngak,s,,,H2
ngik,tn,nom,d,4,d,ngik,allV,x,ngik,iallV(i),,ngik,sallV,x,ngik,sallV,x,,H2
ngik,tn,nom,p,4,d,ngik ngit,n n,,ngik ngit,i(i) i(i),,ngik ngit,s s,,ngik ngit,s s,,,H2
ngata,tn,gen,s,4,d,ngata ngakta,n n,,ngata ngakta,i(i) i(i),,ngata ngakta,s s,,ngata ngakta,nas nas,,,H2
ngita,tn,gen,d,4,d,ngita ngikta,allV allV,x x,ngita ngikta,iallV(i) iallV(i),,ngita ngikta,sallV sallV,x x,ngita ngikta,sallV sallV,x x,,H2
ngita,tn,gen,p,4,d,ngita,n,,ngita,i(i),,ngita,s,,ngita,s,,,H2
ngangnik,tn,acc,s,4,d,ngangnik,n,,ngangnik,i(i),,ngangnik,s,,ngangnik,s,,,H2
ngingnik,tn,acc,d,4,d,ngingnik,allV,x,ngingnik,iallV(i),,ngingnik,sallV,x,ngingnik,sallV,x,,H2
ngingnik,tn,acc,p,4,d,ngingnik,n,,ngingnik,i(i),,ngingnik,s,,ngingnik,s,,,H2
ngangnut,tn,dat,s,4,d,ngangnut,n,,ngangnut,i(i),,ngangnut,s,,ngangnut,s,,,H2
ngingnut,tn,dat,d,4,d,ngingnut,allV,x,ngingnut,iallV(i),,ngingnut,sallV,x,ngingnut,sallV,x,,H2
ngingnut,tn,dat,p,4,d,ngingnut,n,,ngingnut,i(i),,ngingnut,s,,ngingnut,s,,,H2
ngangnit,tn,abl,s,4,d,ngangnit,n,,ngangnit,i(i),,ngangnit,s,,ngangnit,s,,,H2
ngingnit,tn,abl,d,4,d,ngingnit,allV,x,ngingnit,iallV(i),,ngingnit,sallV,x,ngingnit,sallV,x,,H2
ngingnit,tn,abl,p,4,d,ngingnit,n,,ngingnit,i(i),,ngingnit,s,,ngingnit,s,,,H2
ngangni,tn,loc,s,4,d,ngangni,n,,ngangni,i(i),,ngangni,s,,ngangni,s,,,H2
ngingni,tn,loc,d,4,d,ngingni,allV,x,ngingni,iallV(i),,ngingni,sallV,x ,ngingni,sallV,x,,H2
ngingni,tn,loc,p,4,d,ngingni,n,,ngingni,i(i),,ngingni,s,,ngingni,s,,,H2
ngaktut,tn,sim,s,4,d,ngaktut,n,,ngaktut,i(i),,ngaktut,s,,ngaktut,s,,,H2
ngiktitut,tn,sim,d,4,d,ngiktitut,allV,x,ngiktitut,iallV(i),,ngiktitut,sallV,x,ngiktitut,sallV,x,,H2
ngititut,tn,sim,p,4,d,ngititut,n,,ngititut,i(i),,ngititut,s,,ngititut,s,,,H2
ngakkut,tn,via,s,4,d,ngakkut,n,,ngakkut,i(i),,ngakkut,s,,ngakkut,s,,,H2
ngiktigut,tn,via,d,4,d,ngiktigut,allV,x,ngiktigut,iallV(i),,ngiktigut,sallV,x,ngiktigut,sallV,x,,H2
ngitigut,tn,via,p,4,d,ngitigut,n,,ngitigut,i(i),,ngitigut,s,,ngitigut,s,,,H2
ngat,tn,nom,s,4,p,ngat,n,,ngat ngat,i(i) s,,ngat,s,,ngat,s,,,H2
ngik,tn,nom,d,4,p,ngik,allV,x x,ngik,iallV(i),,ngik,sallV,x x,ngik,sallV,x,,H2
ngit,tn,nom,p,4,p,ngit,n,,ngit ngit,i(i) s,,ngit,s,,ngit,s,,,H2
ngata,tn,gen,s,4,p,ngata,n,,ngata ngata,i(i) s,,ngata,s,,ngata,nas,,,H2
ngita,tn,gen,d,4,p,ngita ngikta,allV allV,x x,ngita ngikta,iallV(i) iallV(i),,ngita ngikta,sallV sallV,x x,ngita ngikta,sallV sallV,x x,,H2
ngita,tn,gen,p,4,p,ngita,n,,ngita ngita,i(i) s,,ngita,s,,ngita,s,,,H2
ngannik,tn,acc,s,4,p,ngannik,n,,ngannik ngannik,i(i) s,,ngannik,s,,ngannik,s,,,H2
ngingnik,tn,acc,d,4,p,ngingnik,allV,x,ngingnik,iallV(i),,ngingnik,sallV,x,ngingnik,sallV,x,,H2
nginnik,tn,acc,p,4,p,nginnik innik,n n,,nginnik nginnik,i(i) s,,nginnik,s,,nginnik,s,,,H2
ngannut,tn,dat,s,4,p,ngannut,n,,ngannut ngannut,i(i) s,,ngannut,s,,ngannut,s,,,H2
ngingnut,tn,dat,d,4,p,ngingnut,allV,x,ngingnut,iallV(i),,ngingnut,sallV,x,ngingnut,sallV,x,,H2
nginnut,tn,dat,p,4,p,nginnut innut,n n,,nginnut nginnut,i(i) s,,nginnut,s,,nginnut,s,,,H2
ngannit,tn,abl,s,4,p,ngannit,n,,ngannit ngannit,i(i) s,,ngannit,s,,ngannit,s,,,H2
ngingnit,tn,abl,d,4,p,ngingnit,allV,x,ngingnit,iallV(i),,ngingnit,sallV,x,ngingnit,sallV,x,,H2
nginnit,tn,abl,p,4,p,nginnit,n,,nginnit nginnit,i(i) s,,nginnit,s,,nginnit,s,,,H2
nganni,tn,loc,s,4,p,nganni,n,,nganni nganni,i(i) s,,nganni,s,,nganni,s,,,H2
ngingni,tn,loc,d,4,p,ngingni,allV,x,ngingni,iallV(i),,ngingni,sallV,x,ngingni,sallV,x,,H2
nginni,tn,loc,p,4,p,nginni,n,,nginni nginni,i(i) s,,nginni,s,,nginni,s,,,H2
ngatitut,tn,sim,s,4,p,ngatitut ngatut,n n,,ngatitut ngatut,i(i) s,,ngatitut ngatut,s s,,ngatitut ngatut,s s,,,H2
ngiktitut,tn,sim,d,4,p,ngiktitut,allV,x,ngiktitut,iallV(i),,ngiktitut,sallV,x,ngiktitut,sallV,x,,H2
ngititut,tn,sim,p,4,p,ngititut,n,,ngititut ngititut,i(i) s,,ngititut,s,,ngititut,s,,,H2
ngatigut,tn,via,s,4,p,ngatigut ngagut,n n,,ngatigut ngagut,i(i) s,,ngatigut ngagut,s s,,ngatigut ngagut,s s,,,H2
ngiktigut,tn,via,d,4,p,ngiktigut,allV,x,ngiktigut,iallV(i),,ngiktigut,sallV,x,ngiktigut,sallV,x,,H2
ngitigut,tn,via,p,4,p,ngitigut,n,,ngitigut ngitigut,i(i) s,,ngitigut,s,,ngitigut,s,,,H2
