morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
nasugi,1,sv,vv,m,t,,,ksi/1vv,nasugi,n,,nasugi,a,,nasugi gasugi,a fus,,rasugi,fus,,"to think, to be of the the opinion that s.o. (refl.: oneself) ...","penser, avoir l'opnion que qqn (r�fl.: soi-m�me) ...",,,,H1,,,m
nasuk,1,sv,vv,m,n,,,,nasuk gasuk gasuaq nasuaq,n n n n,,nasuk nasuaq,a a,,gasuk gasuaq,fus fus,,rasuk rasuaq,fus fus,,"endeavouring, striving: 'to be trying'",essayer,,,,H1 A1,,,m
nga,1,sv,vv,m,n,,,,nga,n,,nga,s,,nga,s,,nga,s,,to be in a state of,�tre dans un �tat de,,,,,,,m
ngaaq,3,sn,nn,t,,,,,ngaaq,n,,ngaaq,nas,,ngaaq,nas,,ngaaq,nas,,"rather, instead","plut�t, au lieu",,,,H1,,,m
ngaaq,1,sn,nv,m,i,,,,-,-,,ngaaq,nas,,-,-,,-,-,,to come from,venir de,cas:abl,,,H1,,,m
ngaaq,2,sv,vv,m,n,,,,ngaaq,n,,ngaaq,nas,,ngaaq,nas,,ngaaq,nas,,"to do one action as opposed to an alternative: 'instead'; to do s.t. very much, abundantly","faire une action au lieu d'une autre: 'plut�t', 'au lieu'; faire qqch. beaucoup, abondamment",,,,H1,,,m
ngau,1,sn,nv,m,i,,,,-,-,,ngau,nas,,-,-,,-,-,,"motion towards; 'towards', 'to'","mouvement vers; 'vers', '�'",cas:dat,,,H1,,,m
ngu,1,sn,nv,m,i,,,,ngu,n,,ngu,s,,ngu,s,,ngu,s,,"with body parts: illness, soreness: 'to have sore ...'; to be tired in this part; with name of foods: to have a slight envy to vomit that","avec noms de parties du corps: maladie, douleur: 'avoir mal � ...'; avec ce membre fatigu�; avec noms de nourriture: avoir une l�g�re envie de le vomir",,,,H1,,,m
nguq,1,sn,nv,m,t,,,i/1vv,nguq nnguq,n n,,nguq nnguq,i(i) i(i),,nguq nnguq,nas nas,,ruq nguq nnguq,fus s s,,change of state: 'to become' (trans.: to make s.o. become); with numbers: to tell the time,"changement d'�tat: 'devenir' (trans.: faire devenir qqn); avec nombres: exprimer l'heure, la date",,,,H1,,,m
nialauq,1,sv,vv,m,n,,,,nialauq,n,,nialauq,nas,,nialauq,nas,,nialauq,nas,,'was/were going to'; 'would have ...',"'�tait/�taient pour, allait/allaient faire qqchose'; 'aurait/auraient ...'",,,,A1,niaq/2vv+lauq/1vv,,m
niaq,1,sn,nv,m,i,t,,,niaq niaq,n i(n),,niaq,nas,,niaq,nas,,niaq,nas,,to study; to take a great interest in; with animals: to hunt,�tudier; avoir un grand int�r�t pour; avec animaux: chasser,,,,H1,,,m
niaq,2,sv,vv,m,n,,,,niaq,n,,niaq,nas,,niaq,nas,,niaq,nas,,"future, today","futur, aujourd'hui",,,,H1,,,m
niaqqau,1,sv,vv,m,t,,,,niaqqau,n,,niaqqau,nas,,niaqqau,nas,,niaqqau,nas,,'was/were just going to'; 'would have just now...',"'�tait/�taient tout juste pour, allait/allaient tout juste faire qqchose'; 'aurait/auraient juste � ce moment...'",,,,A1,niaq/2vv+qqau/1vv,,m
niaqtaksari,1,sv,vv,m,t,,,,niaqtaksari,n,,niaqtaksari,nas,,niaqtaksari,nas,,niaqtaksari,nas,,future likelihood or probability: 'will more than likely... ; will probably ...',vraisemblance ou probabilit� dans le futur: 'vraisemblablement'; 'probablement',,t,,A1,niaq/2vv+jaq/1vn+ksaq/1nn+gi/1nv,,m
niq,2,sv,vn,t,,,,,niq,n,,niq niq,nas s,,niq,nas,,niq,nas,,noun abstraction of the verb's action,nom abstrait de l'action du verbe,,,,H1 A1,,,m
niq,1,sv,vv,m,n,,,,niq,i(n),,niq,nas,,niq,nas,,niq,nas,,unperceived past with pure verbal forms,pass� non per�u avec formes verbales pures,,,,H1,,,m
niqpaq,1,sv,vn,t,,,,,niqpaq niqpaaq,n n,,niqpaq niqpaaq,nas nas,,niqpaq niqpaaq,nas nas,,niqpaq niqpaaq,nas nas,,superlative,superlatif,,,,H1,,,m
niqsaq,1,sv,vn,t,,,,,niqsaq,n,,niqsaq,nas,,niqsaq,nas,,niqsaq,nas,,comparaison,comparaison,,,,H1,,,m
niraq,1,sv,vv,m,t,,,i/1vv,niraq,n,,niraq,nas,,niraq,nas,,niraq,nas,,reporting action; 'to say that s.o. (refl.: oneself) ...',rapporter une action; 'dire que qqn (r�fl.: soi-m�me) ...',,,,H1,,,m
nitaq,1,sn,nn,t,,,,,nitaq,n,,nitaq nitaq,s n,,nitaq nitaq,s n,,nitaq nitaq,s n,,from a certain time,d'il y a longtemps,,,,,,,m
niujaq,1,sv,vv,m,n,,,,niujaq niujaaq,n n,,niujaq niujaq niujaaq niujaaq,s a s a,,niujaq niujaaq,s s,,niujaq niujaaq,s s,,"imminent action: 'to be about to...'; uncertain, doubtful action",action imminente: '�tre sur le point de'; action incertaine,,,,H1,,North Baffin,m
niusau,1,sv,vv,m,n,,,,niusau,n,,niusau,s,,niusau,s,,niusau,s,,imminent action: 'to be about to...',action imminente: '�tre sur le point de',,,,H1,,Cumberland,m
niut,1,sv,vn,t,,,,,niut,n,,niut,nas,,niut,nas,,niut,nas,,something to be used in doing ...,quelque chose � utiliser en faisant ...,,,,H1,,,m
nnajuk,1,sn,nn,t,,,,,nnajuk,n,,nnajuk,s,,nnajuk,s,,nnajuk,s,,deprecation or derogation; sarcasm,d�sapprobation ou amoindrissement; sarcasme,,,,,,,m
nnajuk,2,sv,vv,m,n,,,,nnajuk,n,,nnajuk,s,,nnajuk,s,,nnajuk,s,,"expresses deprecation or derogation, mild surprise that a person would act or have the nerve to act in a particular manner; sarcasm","exprime la d�sapprobation ou l'amoindrissement, la l�g�re surprise que quelqu'un agirait ou oserait agir d'une certaine fa�on; sarcasme",,,,H1,,,m
nngai,1,q,q,,,,,,nngai,n,,nngai,s,,nngai,s,,nngai,s,,"coaxing, inoffensive questioning; greeting","enjolement, question inoffensive; mot d'accueil",,,,H1,,,m
nngaq,1,sn,nv,m,t,,,,-,-,,nngaq,nas,,-,-,,-,-,,movement from: 'to come from',mouvement originant de: 'venir de',cas:abl,,,A1,,,m
nngiq,1,sn,nn,t,,,,,nngiq,n,,nngiq,s,,nngiq,s,,nngiq,s,,promiscuous,tr�s libre; peu farouche,,,,H1,,,m
nngit,1,sv,vv,m,n,,,,nngit,n,,nngit,s,,nngit,s,,nngit,s,,general negation; 'not',n�gation g�n�rale; 'ne...pas',,,,H1,,,m
nnguaq,1,sn,nn,t,,,,,nnguaq,n,,nnguaq,s,,nnguaq,s,,nnguaq,s,,"resemblance, likeness: 'which looks like'",ressemblance: 'qui ressemble �',,,,H1,,,m
nnguaq,2,sv,vv,m,n,,,,nnguaq,n,,nnguaq,s,,nnguaq,s,,nnguaq,s,,to simulate; to pretend,simuler; faire semblant; pr�tendre,,,,H1,,,m
nnguk,1,sv,vv,m,n,,,,nnguk nnguq,n n,,nnguk nnguq,s s,,nnguk nnguq,s s,,nnguk nnguq,s s,,"to be tired of, bored with","�tre fatigu� de, lass� de",,,,H1,,,m
nngusuk,1,sv,vv,m,n,,,,nngusuk,n,,nngusuk,s,,nngusuk,s,,nngusuk,s,,"to be inclined to, to feel like doing ...","�tre enclin �, se sentir port� � faire quelque chose",,,,H1,,,m
nnik,1,sv,vv,m,i,,,,nnik,n,,nnik,s,,nnik,s,,nnik,s,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:nnik/1vv,t,,,,,m
paaluk,1,sv,vn,t,,,,,-,-,,-,-,,-,-,,paaluk,n,,"exaggeration, aggrandizement of the action: 'very much', 'a lot'",exag�ration de l'action: 'beaucoup',id:juq/1vn,,,H1,,Cumberland,m
paaq,1,sn,nn,t,,,,,paaq,n,,paaq,n,,paaq,n,,paaq,n,,"1) the most of all; superlative 2) big, very, powerful, considerable","1) le plus ... de tous; superlatif 2) gros, tr�s, puissant, consid�rable",,,,S1,,,m
paaq,1,sv,vv,f,,,,,paaq,n,,paaq,n,,paaq,n,,paaq,n,,"exclamation: 'Oh, how ...!'","exclamation: 'Oh, que ...!'",,,,H1,,,m
paluk,1,sv,vn,t,,,,,paluk,n,,paluk,n,,paluk,n,,paluk,n,,"a little, to a certain degree",un peu; jusqu'� un certain point,,,,H1,,,m
paluk,2,sv,vv,m,n,,,,paluk,n,,paluk,n,,paluk,n,,paluk,n,,"a little, to a certain degree",un peu; jusqu'� un certain point,,,,H1,,,m
pasaaq,1,sv,vv,m,n,,,,pasaaq,n,,pasaaq,n,,pasaaq,n,,pasaaq,n,,"unexpected surprise: 'unexpectedly', 'surprisingly'",surprise inattendue,,,,H1,,,m
patsiuk,1,sn,nn,t,,,,,patsiuk,n,,patsiuk,n,,patsiuk,n,,patsiuk,n,,strong derogation,d�sapprobation forte,,,,H1,,Cumberland,m
pillaq,1,sv,vv,m,n,,,,pillaq pillak,n n,,pillaq pillak,s s,,pillaq pillak,s s,,pillaq pillak,s s,,briefly; a little time,bri�vement; peu de temps,,,,H1 A1,,,m
qai,1,q,q,,,,,,qai,n,,qai,s,,qai,s,,qai,s,,"perhaps, maybe",peut-�tre,,,,H1,,,m
qajaa,1,sn,nn,f,,,,,qajaa,n,,qajaa,s,,qajaa,s,,qajaa,s,,negation; lack of: 'no ...',n�gation; manque de: 'pas de ...',,,,H1,,,m
qajaanngit,1,sn,nv,m,i,,,,qajaanngit qajaangit,n n,,qajaanngit qajaangit,s s,,qajaanngit qajaangit,s s,,qajaanngit qajaangit,s s,,to have no ...,ne pas avoir de ...,,,,H1,,,m
qalauq,1,sv,vv,m,n,,,,qalauq,n,,qalauq,s,,qalauq,s,,qalauq,s,,"brief action: 'for a few minutes', 'for a little while'",action br�ve: 'quelques minutes',,,mode:imp,H1,,,m
qallaq,1,sn,nn,t,,,,,qallaq,n,,qallaq,s,,qallaq,s,,qallaq,s,,"squatness: 'short, fat'",courtaud,,,,H1,,Cumberland,m
qaminngit,1,sv,vv,m,n,,,,qaminngit,n,,qaminngit,s,,qaminngit,s,,qaminngit,s,,"has not just done the action, but did it some time ago","ne vient pas de faire qqchose, mais l'a fait il y a quelque temps",,,,A1,,,m
qammaq,1,sn,nn,t,,,,,qammaq,n,,qammaq,s,,qammaq,s,,qammaq,s,,"poor, bad, worthless","pauvre, de mauvaise qualit�, sans valeur",,,,H1,,,m
qammaq,2,sv,vv,m,n,,,,qammaq,n,,qammaq,s,,qammaq,s,,qammaq,s,,"poorly, in a bad way","pauvrement, mal (qualit�)",,,,H1,,,m
qaq,1,sn,nv,m,i,,,,qaq,n,,qaq,s,,qaq,s,,qaq,s,,"to have, to possess","avoir, poss�der",,,,H1,,,m
qarvik,1,sn,nn,t,,,,,qarvik,n,,qarvik,s,,qarvik,s,,qarvik,s,,"a place for, a place to keep","un endroit pour, ou pour garder",,,,H1,qaq/1nv+vik/3vn,,m
qatau,1,sv,vv,m,i,,,,qatau,n,,qatau,s,,qatau,s,,qatau,s,,to be accompanying in action: 'to go along',accompagner dans l'action,,,,H1,,,m
qatauti,1,sv,vv,m,i,,,,qatauti,n,,qatauti,s,,qatauti,s,,qatauti,s,,mutual action: 'each other',action mutuelle: 'l'un l'autre',,,,H1,,,m
qati,1,sn,nn,t,,,,,qati rqati,n n,,qati rqati,s s,,qati rqati,s s,,qati rqati,s s,,"s.o. who has the same, who is the same","qquun qui a le m�me ..., qui est le m�me",,,,S1,,,m
qati,1,sv,vn,t,,,,,qati qatik,n n,,qati qatik,s s,,qati qatik,s s,,qati qatik,s s,,partner for,partenaire pour,,,,H1,,,m
qattaq,1,sv,vv,m,n,,,,qattaq,n,,qattaq,s,,qattaq,s,,qattaq,s,,regular or habitual action; 'often',action r�guli�re ou habituelle; 'souvent',,,,H1,,,m
qauq,1,sn,nv,m,i,,,,qauq,n,,qauq,s,,qauq,s,,qauq,s,,to possess many ...,poss�der plusieurs ...,,,,H1,qaq/1nv+uq/3vv,,m
qauti,1,sn,nn,t,,,,,qauti,n,,qauti,s,,qauti,s,,qauti,s,,container for ...,contenant pour ...,,,,H1,qaq/1nv+ut/1vn,,m
qi,1,sv,vv,m,n,,,,qi,n,,qi,s,,qi,s,,qi,s,,to do s.t. by oneself,faire qqchose par soi-m�me,,,,S1,,,m
qqaaq,1,sv,vv,m,n,,,,qqaaq,n,,qqaaq,s,,qqaaq,s,,qqaaq,s,,first (before doing anything else); first (to do s.t.); before (with negative participle endings) or after (with positive participle endings),"d'abord, en premier (avant de faire quoi que ce soit d'autre); le(s) premier(s) � faire qqch.; avant que (avec terminaisons n�gatives au participe) ou apr�s que (avec terminaisons positives au participe)",,,,H1,,,m
qqau,1,sv,vv,m,n,,,,qqau,n,,qqau,s,,qqau,s,,qqau,s,,recent perceived past,pass� r�cent per�u,,,,H1,,,m
qqautau,1,sv,vv,m,n,,,,qqautau,n,,qqautau,s,,qqautau,s,,qqautau,s,,to be the first one(s) to do s.t.,�tre le(s) premier(s) � faire qqchose,,,,A1,,,m
qquqtu,1,sn,nv,m,i,,,,qquqtu quqtu,n n,,qquqtu quqtu qquqtu quqtu,s i(i) s i(i),,qquqtu quqtu,s s,,qquqtu quqtu,s s,,to have large (specified) body parts,avoir de grands ... (parties du corps),,,,A1,,,m
qquuq,1,sv,vv,m,n,,,,qquuq,n,,qquuq,s,,qquuq,s,,qquuq,s,,probably,probablement,,,,H1,,,m
qu,1,sv,vv,m,n,,,,qu,n,,qu,s,,qu,s,,qu,s,,'so that' when used with participal verb endings,'de sorte que' lorsqu'utilis� avec des terminaisons verbales au participe,,,mode:part,H1 A1,,,m
qu,2,sv,vv,m,t,,,ji/1vv,qu,n,,qu,s,,qu,s,,qu,s,,"to desire, to wish something to be done","d�sirer, souhaiter que quelque chose soit fait",,,,H1 A1,,,m
quti,1,sn,nn,t,,,,,quti,n,,quti,s,,quti,s,,quti,s,,own; s.t. that belongs to s.o.,"propri�t� propre, qui appartient � qqn",,,,H1,,,m
quuji,1,sv,vv,m,i,,,,quuji,n,,quuji,s,,quuji,s,,quuji,s,,ressemblance; 'look like'; 'appear',ressemblance; 'sembler'; 'ressembler',,,,H1,,,m
rajaaq,1,sv,vv,m,n,,,,rajaaq,n,,rajaaq,s,,rajaaq,s,,rajaaq,s,,"to be slow, to take a long time to","�tre lent, prendre longtemps � faire qqchose",,,,A1,,,m
ralaaq,1,sn,nn,t,,,,,ralaaq,n,,ralaaq,s,,ralaaq,s,,ralaaq,s,,small,petit,,,,H1,,,m
raq,1,sv,vv,m,n,,,,raq,n,,raq,s,,raq,s,,raq,s,,"prolonged action, or action occurring in distinct stages, one part after another","action prolong�e, ou action survenant par �tapes distinctes successives",,,,H1,,,m
rataaq,1,sv,vv,m,n,,,,rataaq,n,,rataaq,s,,rataaq,s,,rataaq,s,,immediate perceived past,pass� imm�diat per�u: 'venir juste de',,,,H1,,,m
ri,1,sv,vv,m,i,,,,-,-,,-,-,,-,-,,ri,fus,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:ri/1vv,t,,H1,,,m
rngaq,1,sv,vv,m,n,,,,rngaq,n,,rngaq,s,,rngaq,s,,rngaq,s,,for the first time,pour la premi�re fois,,,,,,,m
rujuk,1,sv,vv,m,n,,,,rujuk,n,,rujuk,s,,rujuk,s,,rujuk,s,,"to a small degree, slight amount",un peu,,,,H1,,,m
rujuq,1,sn,nn,m,,,,,rujuq,n,,rujuq,s,,rujuq,s,,rujuq,s,,collectiveness; characteristic,"ensemble de gens, de choses; caract�ristique",,,number:p,H1,,North Baffin,m
rujuq,2,sn,nn,t,,,,,rujuq,n,,rujuq,s,,rujuq,s,,rujuq,s,,"used on place names to indicate the place and the surrounding area, or following numerals to indicate approximate time","utilis� avec des noms d'endroit pour indiquer l'endroit et ses environs, ou apr�s des nombres pour indiquer le temps approximatif",,,,H1,,,m
rulu,1,sn,nn,t,,,,,rulu ruluk,n n,,rulu ruluk,s s,,rulu ruluk,s s,,rulu ruluk,s s,,"severe derogation (when this suffix is in final position, the word may be interpreted as a verb in the 3rp person); disparagement, disgust","d�sapprobation s�v�re (lorsque ce suffixe est en position finale, le mot peut �tre interpr�t� comme un verbe � la 3�me personne); d�go�t, moquerie",,,,H1,,,m
rulu,2,sv,vv,m,n,,,,rulu,n,,rulu,s,,rulu,s,,rulu,s,,"severe derogation; disparagement, disgust","d�sapprobation s�v�re; d�go�t, moquerie",,,,H1,,,m
rusiq,2,sn,nn,t,,,,,rusiq,n,,rusiq,s,,rusiq,s,,rusiq,s,,"a unit of, a section or part of","une unit� de, une section ou partie de",,,,H1,,,m
rusiq,1,sv,vn,t,,,,,rusiq,n,,rusiq,s,,rusiq,s,,rusiq,s,,"a unit of, a section or part of","une unit� de, une section ou partie de",,,,H1,,,m
saali,1,sv,vv,m,n,,,,saali,n,,saali,n,,saali,n,,saali,n,,early,t�t,,,,H1,,,m
saaq,1,sv,vn,m,,,,,saaq,n,,saaq,s,,saaq,s,,saaq,s,,one who has just done the action,qui vient juste de faire l'action,,,,S1,,,m
saaq,1,sv,vv,m,n,,,,saaq,n,,saaq,s,,saaq,s,,saaq,s,,"just; after some time; quickly, hastily; with imperative: 'just', 'merely'","venir tout juste de; rapidement, avec h�te; avec imp�ratif: 'simplement'",,,,H1 A1,,,m
saq,1,sv,vv,m,t,,,i/1vv,saq,n,,saq,s,,saq,n,,saq,n,,"working at something to achieve a desired state, usually through prolonged action","en train de travailler � quelque chose pour obtenir un r�sultat d�sir�, d'habitude par une action prolong�e",,,,H1,,,m
sarait,1,sv,vv,m,n,,,,sarait,n,,sarait,s,,sarait,n,,sarait,n,,easiness or speed of action: 'quickly'; 'easily',facilit� ou rapiditi� de l'action: 'facilement'; 'rapidement',,,,H1,,,m
saritu,1,sv,vv,m,n,,,,saritu,n,,saritu,s,,saritu,n,,saritu,n,,to be slow,�tre lent,,,,A1,,,m
si,4,sn,nv,m,t,,,i/1vv,si,n,,si,n,,si,n,,si,n,,to sight an animal; to discover s.t. (trans.: that belongs to s.o. else); to receive (after searching),voir un animal; d�couvrir qqch (trans.: qui appartient � qqn d'autre); recevoir (apr�s avoir cherch�),,,,H1,,,m
si,3,sv,vv,m,i,,,,si,n,,si,n,,si,n,,si,n,,added to gi-verbs to make them intransitive,ajout� aux verbes 'gi' pour les rendre intransitifs,"type:v,intransinfix:si/3vv",i,,H1,,,m
si,1,sv,vv,m,i,,,,si,n,,si,n,,si,n,,si,n,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:si/1vv,t,,H1,,,m
si,2,sv,vv,m,n,,,,si,n,,si,s,,si,s,,si si,s n,,"the action is being done now, where it was not the case before; readiness, commencement of action or motion","l'action est faite maintenant, alors que ce n'�tait pas le cas auparavant; �tre pr�t �; commencer �",,,,A1,,,m
siaq,1,sn,nn,t,,,,,siaq,n,,siaq,n,,siaq,n,,siaq,n,,something found,qqch qui a �t� trouv�,,,,A1,,,m
siaq,1,sn,nv,m,i,,,,siaq,n,,siaq,n,,siaq,n,,siaq,n,,to come across; to find,rencontrer; trouver,,,,A1,si/4nv+a/1vv,,m
siaq,1,sv,vn,t,,,,,siaq,n,,siaq,n,,siaq,n,,siaq,n,,an action that is waited for completion,une action dont on attend la compl�tion,,,,H1,,,m
sima,1,sv,vv,m,n,,,,sima,n,,sima sima,s n,,sima,n,,sima,n,,"to be in a state acquired through a completed action (the word can be active, or passive)","�tre dans un �tat atteint � la suite d'une action compl�t�e (le mot peut �tre actif, ou passif)",,,,H1 A1,,,m
siq,2,sv,vn,t,,,,,siq,n,,siq,s,,siq,s,,siq,s,,custom; way; habit; manner of doing s.t.,coutume; fa�on; habitude; mani�re de faire qqchose,,,,S1,,,m
siq,1,sv,vv,m,t,,,i/1vv,siq,n,,siq,n,,siq,n,,siq,n,,"to put or bring out, to be put or brought up for some natural process; to be waiting for an action to be performed or completed","pendre, placer qqchose, ou qqchose �tre pendue ou plac�e, pour un processus naturel; attendre qu'une action se fasse ou s'ach�ve",,,,A1,,,m
siri,1,sn,nv,m,i,,,,siri,n,,siri,s,,siri,?,,siri,?,,to have ache or pain at,avoir mal �,,,,A1,,,m
siuq,1,sn,nv,m,t,,,ri/1vv,siuq,n,,siuq,n,,siuq,n,,siuq,n,,"searching, looking for s.t. (trans.: of, for, about s.o.); travelling through space or time (spend); feasting, celebrating","chercher qqch. (trans.: de, pour, concernant qqn) ; voyager � travers un espace (passer par) ou le temps (passer); c�l�brer",,,,H1,,,m
siut,1,sn,nn,t,,,,,siut,n,,siut siut,n i(i),,siut,n,,siut,n,,"something for, for use with s.t. or on some occasion","quelque chose pour, pour �tre utilis� avec qqch ou � une certaine occasion",,,,H1,,,m
