morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
aggautisiut,,,n,,,,,,,,wrist-band; bracelet,bande de poignet; bracelet,aggaut/1n+siut/1nn,,aggak,,,.
aggiarjuk,,1,n,,zoo,,,,,,long-tailed squaw duck,canard � longue queue de Terre-Neuve,aggiq/2n+arjuk/1nn,,,,,.
agluaq,,,n,,,,,,,,fishing hole in ice,trou de p�che dans la glace,aglu/1n+aq,,,,1,.
agluuq,,1,v,i,,,,,,,"to dive or plunge head-first under water - said of an animal (bird, seal)","plonger t�te premi�re sous l'eau - en parlant d'un animal (oiseau, phoque)",aglu/1n+uq,,,,1,.
agluuq,,2,v,i,a,,,,,,to have one's jaws pulled apart,avoir ses m�choires �cart�es,aglu/1n+uq,,,,,.
ainnaak,ainnaa,1,e,,,,,,,,exclamation of fear: 'You scared me!',"exclamation: ""Tu m'as fait peur !""",?,,,,,.
airaumijaq,,1,v,i,,,,,,,"to have a wide range, speaking of a voice","avoir une grande �tendue, parlant de la voix",?,,,,,.
aittukuluk,,1,a,,,,,,,,a little bit; a small quantity,un petit peu; une petite quantit�,aittu+kulu/1nn,wchb northbaffin,,,,.
ajarausiq,,,n,,,,,,,,string figure,figure form�e avec une corde,ajaraaq/1v+usiq/1vn,,,,,.
ajuqiqtuiji,ajugiqtuiji ajuqiqsuiji ajugiqsuiji,,n,,,,,,,,"Anglican missionary or minister, preacher",missionnaire ou ministre du culte anglican; pr�cheur,ajuqiq/1v+tuq/1vv+i/1vv+ji/1vn,,,,,.
ajurnaq,,,v,i,,,,,,,cannot be helped,�tre impossible � faire,,,ajuq,,,.
akaqqi,akarri,1,v,i,a,,,,,,"to be more prosperous, to have better living conditions","�tre plus prosp�re, avoir de meilleures conditions de vie",,,akau,v,1,.
akpaliapik,,,n,,zoo,,,,,,dovekie,mergule nain,,,akpa,,,.
akpaliarjuq,,,n,,zoo,,,,,,dovekie,mergule nain,,,akpa,,,.
aksalik,,,v,t,,,,,,,[-R]to /rub or /work s.t. in circular fashion,[-R]/frotter qqch. avec un mouvement circulaire,,,,,,.
aksaluaq,,,n,,,,,,,,wheel; pulley; revolving disc,roue; poulie; disque rotatif,,,,,,.
aksualuk,,,a,,,,,,,,"(1) exhortation to apply a lot of pressure: ""Give it all you've got!""""; ""Apply a lot of pressure!"" (2) ""Very much so!""","(1) exhortation � appliquer beaucoup de pression: ""Donne tout ce que tu as!""; ""Force fort!"" (2) tr�s; beaucoup",,,aksuq,n,1,.
aksunai,,,a,,,,,,,,"""Goodbye!"";  ""Nice seeing you!""","""Au revoir!""; ""Content de t'avoir vu!""",,ungava echb,aksuq,n,1,.
aksuruq,,1,v,i,,,,,,,"to do s.t. with force, strenght, effort or vigour","faire qqch. avec force, effort ou vigueur",,,aksuq,n,1,.
aksut,,,a,,,,,,,,"(1) exhortation to apply pressure: ""Apply pressure!"", ""Do it with force!"" (2) ""That's right!""; ""I certainly agree!""","(1) exhortation � appliquer une pression: ""Force!"" (2) ""C'est vrai!""; ""Je suis bien d'accord!""",,,aksuq,n,1,.
aktigi,,,v,i,a,,,,nil,,to be as big as,�tre aussi gros que,,,akti,,,.
aktuaji,,,n,,,,,,,,god-parent; god-father,parrain,,,aktuq,,,.
akuliaq,,1,n,,,,,,,,"space between the eyes, between the nostrils, between the fingers, etc.","espace entre les yeux, entre les narines, entre les doigts, etc.",,,aku,n,1,.
akuliarutaq,,1,n,,,,,,,,main or in-between sail,voile principale ou centrale,,,aku,n,1,.
akullit,,1,n,,,p,,,,,month of August,mois d'ao�t,,,aku,n,1,.
akuni,,1,n,,,,,,,,"time interfal between events; ""long time""","intervalle de temps entre des �v�nements; ""longtemps""",,,aku,n,1,.
akuni,,1,v,i,a,,,,,,"to be long, speaking of the wainting time","�tre long, en parlant du temps d'attente",,,aku,n,1,.
akuniq,,1,n,,,,,,,,(1) space or interval between objects or events (2) the middle of something  (3) connecting rod of engine,(1) espace ou intervalle entre des objets ou des �v�nements (2) le milieu de quelque chose (3) bielle d'un moteur,,,aku,n,1,.
alaaksaq,,,n,,,,,,,,skins or other material for boot soles,peaux ou autre mat�riau pour semelle de botte,,,ala,,,.
alianait,,,v,i,e,,,gusuk/1vv,gi/4vv,,to be fun to do; to be fun to be with,�tre plaisant � faire; �tre plaisant d'�tre avec lui,,,alia,v,1,.
alianait,,1,e,,,,,,,,exclamation of pleasure or happiness: 'It's fun!',"exclamation de plaisir, de joie ou de bonheur : ""C'est plaisant !""",,,alia,v,1,.
aliktugaq,,,n,,,,,,,,aborted child,enfant avort�,,,alik,,,.
alilajuq,,,n,,,,,,,,paper,papier,,,alik,v,1,.
allannguaq,,,n,,,,,,,,narwhal,narval,,echb,allak,,,.
allarutiksaq,,,n,,,,,,,,wiping cloth; paper towel,linge � essuyer; essuie-tout en papier,,,allaq,,,.
allasima,,,v,,,,,,,,"to be a writing, a letter, a book","�tre une chose �crite, une lettre, un livre",,southbaffin echb,allak,,,.
allaviksaq,,,n,,,,,,,,writing paper,papier � �crire,,echb southbaffin,allak,,,.
allirittuq,,1,n,,,,,,,,Monday,lundi,,ECHB,,,,.
allituq,,1,n,,,,,,,,Sunday,dimanche,,ECHB,,,,.
alluaq,,1,v,i,,,,,,,to hurt the sole of one's foot from walking on sharp objects,se blesser la plante du pied en marchant sur des objets pointus,,,aluq,,,.
alluraq,,1,n,,,,,,,,threshold; door-sill,seuil; seuil de porte,,wchb,alluq,,,.
alluraujautiik,,1,n,,,d,,,,,bicycle,bicycle,,wchb,alluq,,,.
aluiqqaniq,,1,n,,,,,,,,snow drift,amoncellement de neige,,,,,,.
alutursaq,,1,v,i,a,,,,,,to be delighted or happy over a new acquisition,"�tre ravi, heureux d'une nouvelle acquisition",,,,,,.
amaamak,,1,v,i,,,,,,,to suckle at the breast,t�ter au sein,,,amaama,n,1,.
amaamakitajaq,,,n,,,,,,,,orange (the fruit),orange (le fruit),,,amaama,n,1,.
amaaq,,,v,i,,,,,,,to carry (a baby or other) in her hood,porter (un b�b� ou autre) dans son capuchon,,,amaq,n,1,.
amiaq,,,n,,,,,,,,thin covering: skin; film; varnish; paint,couche mince: peau; film; vernis; peinture,,,amiq,n,1,.
amiaq,,,v,t,,,,,,,to cover with a thin covering; to paint; to varnish,couvrir avec une couche mince; vernir; peinturer,,,amiq,v,1,.
amiraq,,,n,,,,,,,,fish skin; skin of caribou horns,peau de poisson; peau des bois du caribou,,,amiq,n,1,.
amirtaq,,,n,,,,,,,,skin covering of a boat,recouvrement en peau d'un bateau,,,amiq,n,1,.
ammujaq,,,n,,,,,,,,drawer,tiroir,,,ammut,,,.
ammujaqtuq,,,n,,,,,,,,piston of engine,piston de moteur,,,ammut,,,.
ammuliut,,,n,,,,,,,,capstan,cabestan,,southbaffin,ammut,,,.
ammuqqut,,,n,,,,,,,,capstan,cabestan,,wchb,ammut,,,.
anaanaksaq,,,n,,,,,,,,stepmother,belle-m�re,,,anaana,,,.
anaanattiaq,,,n,,,,,,,,grandmother,grand-m�re,,,anaana,,,.
ananngiq,,,n,,zoo,,,,,,dung-fly; house-fly,mouche � merde; mouche domestique,,,anaq,,,.
anarviut,,,n,,,,,,,,receptable beneath stone lamp to catch oil drips,r�ceptacle sous une lampe de pierre pour recevoir les gouttes d'huile,,,anaq,,,.
anautaq,,,n,,,,,,,,bat; snow-beater,b�ton; batteur � neighe,,,anau,v,1,.
angajuqqaaq,angajuqqaa,,n,,,,,,,,"boss, chief; parent","patron, chef; parent",,,angaju,n,1,.
anginnaktuq,,,n,,,,,,,,microscope,microscope,,,angi,,,.
angmajuq,,1,n,,,,,,,,puncture; rip; hoe which has been punctured or gashed,perforation; d�chirure; trou caus� par une perforation ou une d�chirure,,,angmaq,v,1,.
angmaluqitaq,,,n,,,,,,,,circle; oval,cercle; ovale,,,angmaluq,,,.
angmartirut,,,n,,,,,,,,punch; primus-stove needle; nasal drops; etc.,per�oir; aiguille d'un r�chaud de camping; gouttes nasales; etc.,,,angmaq,,,.
angmaturaq,,,n,,,,,,,,hold of a ship,cale d'un navire,,,angmaq,,,.
angujjuaq,,,n,,,,,,,,male bear when with family,ours m�le avec une famille,,,angu,,,.
angunasuk,,,v,i,,,,,,,to go hunting,aller chasser,,,angu,,,.
angusuq,,,v,i,,,,,,,to be a good hunter,�tre un bon chasseur,,,angu,,,.
angutaq,,,n,,,,,,,,father,p�re,,,angut,,,.
angutiqati,,,n,,,,,,,,paternal cousin,cousin paternel,,,angut,,,.
angutiviaq,,,n,,zoo,,,,,,cock; male bird,coq; oiseau m�le,,,angut,,,.
anguut,,,n,,,,,,,,marine propeller; boat propeller,h�lice de bateau,,,anguaq,,,.
anguvigaq,,1,n,,,,,,,,large harpoon for hunting walrus,grand harpon pour chasser le morse,,,angu,,,.
aniksaq,,,n,,,,,,,,maternal cousin,cousin maternel,,,ani,n,1,.
anirnialuk,,,n,,,,,,,,Holy Ghost,Saint Esprit,,,aniq,v,1,.
anirniq,,,n,,,,,,,,(1) breath; expiration (2) spirit or ghost,(1) respiration; expiration (2) esprit ou fant�me,,,aniq,v,1,.
aniuksaq,,,n,,,,,,,,snow used to drink water,neige utilis�e pour boire de l'eau,,,aniuk,n,1,.
aniuvak,,,n,,,,,,,,snow lying on slopes of hills,neige reposant sur la pente des collines,,,aniuk,,,.
anivvik,,,n,,,,,,,,time or place of birth,temps ou lieu de naissance,,,ani,v,1,.
annai,,,v,i,,,,,,,for a hunter to loose his quarry,"en parlant d'un chasseur, perdre sa proie",,,annak,v,1,.
anullaq,,,v,i,a,,,,,,to be solemn; grim-faced,�tre grave; avoir un air s�v�re,,,anut,v,1,.
anullarsivik,,1,n,,,,,,,,prison,prison,,,anut,v,1,.
apak&iq,,,n,,zoo,,,,,,dog furthest to rear in harnessed team; dog (usually greenhorn) closest to driver,"chien le plus � l'arri�re dans un attelage; chien le plus pr�s du conducteur (g�n�ralement un ""greenhorn"")",,,?,,,.
apiri,,,v,i,,,,,nil,,to ask someone a question,poser une question � quelqu'un,,,apiq,v,1,.
apirsukkaq,,,n,,,,,,,,inquisitive person,personne inquisitrice,,,apiq,v,1,.
apirsurut,,,n,,,,,,,,questionnaire,questionnaire,,,apiq,v,1,.
apirsuut,,,n,,,,,,,,questionnaire,questionnaire,,,apiq,v,1,.
apurtiniq,,,n,,,,,,,,rocks or pebbles along shore piled or formed by the action of ice or waves,roches ou caillous sur la gr�ve amass�s par l'action de la glace ou des vagues,,,apuq,,,.
apurtuk,,,n,,,,,,,,"two things that meet up with one another, that come up against or up flush with one another","deux choses qui se rencontrent, qui entrent en contact, en collision l'une avec l'autre",,,apuq,,,.
aqiarunnguaq,,,n,,,,,,,,carburetor,carburateur,,,?,,,.
aqiaruq,,2,n,,,,,,,,stomach; ruminant's fourth stomach,estomac; quatri�me estomac d'un ruminant,,,?,,,.
aqiaviniq,,,n,,,,,,,,abdomen,abdomen,,,?,,,.
aqiggirjuaq,,,n,,zoo,,,,,,Europen domestic chicken,poulet domestique europ�en,,,aqiggiq,n,1,.
aqiggivik,,,n,,zoo,,,,,,willow ptarmigan,lagop�de des saules,,,aqiggiq,n,1,.
aqilluqqaaq,,,n,,,,,,,,new soft snow,nouvelle neige molle,,,aqit,,,.
aqiqqujuaksaq,,,n,,,,,,,,flour,farine,,wchb,aqiqquq,,,.
aqiqqujuaq,,,n,,,,,,,,bread,pain,,wchb,aqiqquq,,,.
aqittuujaaq,,,n,,,,,,,,rolled oats,avoine roul�,,northbaffin,aqit,,,.
aqqarusiq,,1,n,,,,,,,,caribou's second stomach,deuxi�me estomac du caribou,,,?,,,.
aqqaumasuuq,,,n,,,,,,,,submarine,sousmarin,,,aqqaq,,,.
aqupi,,1,v,i,,,,,,,to lie down in crouch position,�tre accroupi,,,?,,,.
aqut,,2,v,i,,,,,,,to steer a boat,gouverner un bateau,,baffin ungava,aqu,,,.
aquti,,,n,,,,,,,,steersman; helmsman,timonier; homme de barre,,,aqu,,,.
arjaksaq,,,n,,,,,,,,coal,charbon,,wchb,arjaq,,,.
arjaliniq,,,n,,,,,,,,ash,cendre,,wchb,arjaq,,,.
arjaliniusibvik,,,n,,,,,,,,ash tray; ash can,cendrier,,wchb,arjaq,,,.
arnalluq,,,n,,zoo,,,,,,bitch (female dog); female fish,chienne (chien femelle); poisson femelle,arnaq/1n+lluq,,arnaq,,,.
arnaqati,,,n,,,,,,,,maternal cousin,cousin maternel,,,arnaq,,,.
arnaqquaksaq,,,n,,,,,,,,"(1) old woman (2) the queen, in playing card suite","(1) vieille femme (2) la reine, dans une suite de jeu de carte",,,arnaq,,,.
arnarsiri,,,v,i,,,,,,,to chase after girls,courir apr�s les filles,,,arnaq,,,.
arnarvik,,,n,,,,,,,,maternal aunt,tante maternelle,,,arnaq,,,.
arnaviaq,,,n,,zoo,,,,,,female bird,oiseau femelle,,,arnaq,,,.
arniri,,,v,i,,,,,,,to chase after girls,courir apr�s les filles,,,arnaq,,,.
arpajuk,,,v,i,,,,,,,for a dog or a horse to trot,"trotter, en parlant d'un chien ou d'un cheval",,,arpak,,,.
arsarniq,,,n,,,,,,,,Northern Lights,aurore bor�ale,,,arsaq,,,.
artursaq,,,v,i,,,,,,,to stagger from carrying too heavy a load on one's back,"tituber, chanceler � porter quelque chose trop lourd sur son dos",,,artuq,,,.
assalik,,,n,,,,,,,,paternal cousin,cousin paternel,,echb,assak,n,1,.
asuilaak,,,a,,,,,,,,so; that being the case;,alors; ceci �tant le cas,asu/1e+ilaak/1q,,asu,e,1,.
ataataksaq,,,n,,,,,,,,stepfather,beau-p�re,,,ataata,,,.
ataatattiaq,,,n,,,,,,,,grandfather,grand-p�re,,,ataata,,,.
ataattiaraaluk,,,n,,,,,,,,bishop of R.C. Church,�v�que de l'�glise romaine catholique,,,ataata,,,.
atajumik,,2,a,,,,,,,,always,toujours,,,,,,.
atajut,,1,n,,,,,,,,things joined in one piece,choses jointes en une seule pi�ce,,,,,,.
atausiiq,,,v,i,,,,,,,"to be done once, one time",�tre fait une fois,,,atausiq,,,.
atausiraaq,,,v,i,,,,,,,to get one of something,acqu�rir un de quelque chose,,,atausiq,,,.
atausivitti,,,v,,,,,,,,to do the same thing all the time,toujours faire la m�me chose,,,atausiq,,,.
atauttikkut,,,a,,,,,,,,all at once; all at the same time,"tout, au m�me moment; tout, tout de suite",,,atausiq,,,.
atirusijaq,,1,v,i,a,,,,,,"to be seen in the distance, speaking of the blizzard","�tre vu de loin, en parlant du blizzard",,,,,,.
atitukkut,,1,n,,,,,,,,frontal portion of atigi hood,partie frontale du capuchon de l'atigi,,,ati,v,1,.
attataq,,2,v,i,,,,,,,for an animal to catch or to hold on repeatedly,"en parlant d'un animal, attraper ou tenir, de fa�on r�p�t�e",,,,,,.
attataq,,1,v,i,a,,,,,,to be caught in a steel-jaw trap,�tre captur� dans un pi�ge � m�choires en m�tal,,,attatit,n,=,.
atuaq,,1,v,t,,,,,,si/1vv,[-R]to /follow s.t. carefully; to /use s.t. continually,[-R]/suivre qqch. attentivement; /utiliser qqch. continuellement,,,atuq,v,1,.
atuarutit,,1,n,,,p,,,,,cracks on sea-edge ice made by pressure of tide,fissures dans la glace du bord de mer caus�es par la pression de la mar�e,,,,,,.
atuinnaq,,1,n,,,,,,,,something available,quelque chose de disponible,,,,,,.
atungaujaq,,1,n,,,,,,,,leaf of cowberry plant used as a filler in tobacco,feuille d'airelle rouge utilis�e comme remplissage dans le tabac,,wchb,atungak,,,.
atungaujaq,,2,n,,,,,,,,mushroom,champignon,,northbaffin,atungak,,,.
aujaliq,,,n,,zoo,,,,,,animal in its summer coat,animal avec son pelage d'�t�,,,aujaq,,,.
aujanitaq,,,n,,,,,,,,something of summer,quelque chose de l'�t�,,,aujaq,,,.
aujaqsiuq,,,v,i,,,,,,,to spend the summer at,passer l'�t� �,,,aujaq,,,.
aujii,,,v,i,,,,,,,to spend the summer at,passer l'�t� �,,,aujaq,,,.
aujiivik,,,n,,,,,,,,summer camp; summer sojourn,camp d'�t�; s�jour d'�t�,,,aujaq,,,.
aujuittuq,,2,n,,,,,,,,glacier,glacier,,wchb,auk,,,.
aukkarnit,,,n,,,,,,,,fast-moving waters which do not freeze in the winter,eaux rapides qui ne g�lent pas en hiver,,,auk,,,.
auksiriaqtuq,,,n,,,,,,,,sugar,sucre,,padl,auk,,,.
auktuqti,,,n,,,,,,,,carnivore,carnivore,,,auk,,,.
aulagusiq,,,v,i,,,,,,,to take up a home in a new land,prendre demeure dans un territoire nouveau,,,aula,v,2,.
aulaji,,,v,i,,,,,,,to recall something from the past,se rappeler quelque chose du pass�,,,aula,v,1,.
aulajjak,,,v,i,,,,,,,to move slightly,bouger l�g�rement,,,aula,v,1,.
aulaju,,,v,i,,,,,,,to watch movies,regarder des films,,echb,aula,,,.
aulajuutik,,,n,,,,,,,,movie projector,projecteur de film,,,aula,,,.
aulakattaaq,,,v,i,,,,,,,for a child to swing on a swing,"en parlant d'un enfant, se balancer sur une balan�oire",,,aula,,,.
aulakkut,,,n,,,,,,,,flag; pennant,drapeau; fanion,,,aula,,,.
aulaniq,,,n,,,,,,,,moving ice field,champ de glace mouvante,,,aula,,,.
aulaniqsiuq,,,v,i,,,,,,,to hunt game animals on the moving ice,chasser des animaux sur de la glace mouvante,,,aula,,,.
aulasaq,,,v,i,,,,,,,to fish by line or jigging,p�cher � la ligne ou � la turlutte,,,aula,,,.
aulasaut,,,n,,,,,,,,fish line or jigging line,ligne de p�che ou ligne � turlutter,,,aula,,,.
aullautit,,,n,,,,,,,,engine; motor,machine; moteur,,northbaffin,aullaq,,,.
aunaaq,,,v,i,,,,,,,to bleed,saigner,,,auk,,,.
aupajaq,,,v,i,a,,,,,,"to be pink, reddish","�tre rose, rouge�tre",,,aupaq,,,.
aupajuk,,,v,i,a,,,,,,"to be pink, reddish","�tre rose, rouge�tre",,,aupaq,,,.
aupalattijuq,,,n,,,,,,,,caribou whose horns have just lost skin and are reddish from blood,caribou qui vient tout juste de perdre la peau de ses bois qui sont rouges de sang,,,,,,.
aurui,,,v,i,,,,,,,to bleed menstrually,saigner menstruellement,,southbaffin,auk,,,.
aviktaq,,,n,,,,,,,,month of December,mois de d�cembre,,,avik,,,.
aviktuittut,,,n,,,,,,,,set of matching garments; suit,ensemble de v�tements agenc�s; habit,,,avik,,,.
avinngalaq,,,n,,,,,,,,lemming-skin,peau de lemming,,,avinngaq,,,.
avunit,,,n,,,,,,,,month of March,mois de mars,,,avu,,,.
avviarutaq,,,n,,,,,,,,obstruction,obstruction,,,avviaq,,,.
avvik,,,n,,,,,,,,platform for scraping wet skins,plateforme pour gratter les peaux humides,,,,,,.
ibjuut,,1,n,,,,,,,,skin-drum tightener; prying instrument,tendeur (instrument),,,,,,.
ibvuartuq,,1,v,i,,,,,,,to grasp for breath,"chercher son souffle (comme quand on est contre de forts vents, etc.)",,,,,,.
igaliq,,1,n,,,,,,,,stove-pipe,tuyau de po�le,,Padl,iga,n,1,.
iglirnaq,,,n,,,,,,,,cliff ledge,saillie d'une montagne,,,igliq,,,.
iglit,,,n,,,,,,,,top edge of sleeping bench,bord sup�rieur d'un banc pour dormir,,,igliq,,,.
igluli,,,v,i,,,,,,,build a snowhouse,construire un igloo,,,,,,.
igluliriji,,,n,,,,,,,,housing officer,responsable du logement,iglu/1n+liri/1nv+ji/1vn,,,,,.
iglutaq,,,n,,,,,,,,bedroom,chambre � coucher,,,iglu,,,.
iigaq,,,n,,,,,,,,pill,pilule,,,,,,.
ijaruvak,,3,n,,,,,,,,eye-ball,globe oculaire,,,iji,,,.
ijiikkiumi,,,v,i,,,,,,,to look at someone with hate or malice,regarder quelqu'un avec haine ou malice,,,iji,,,.
ijilirvik,,,n,,,,,,,,eye socket,orbite de l'oeil,,,iji,,,.
ijingmik,,,v,i,,,,,,,to signal someone with one's eyes,faire un signal � quelqu'un avec ses yeux,,,iji,,,.
ijiraq,,,n,,,,,,,,hiding land spirit in folklore,"dans le folklore, esprit de la terre qui se cache",,,ijiq,,,.
ijjarut,,,n,,,,,,,,muzzle,museli�re,,,ijjaq,,,.
ijji,,,n,,,,,,,,foreing body in the eye,corps �tranger dans l'oeil,,,iji,,,.
ijjit,,,v,i,,,,,,,to have something in the eye,avoir quelque chose dans l'oeil,,,iji,,,.
ijjuqqaq,,,n,,,,,,,,hardened or coagulated liquid,liquide durci ou coagul�,,,ijjuq,,,.
ijjurnait,,,v,i,,,,,,,to be a saint,�tre un saint,,,,,,.
ijjuut,,,n,,,,,,,,skin-drum tightener; prying instrument,tenseur de peau de tambour; instrument pour ouvrir,,,,,,.
ik&irvik,,,n,,,,,,,,tool chest,coffre � outils,,wchb,,,,.
ikaaqqaq,,,n,,,,,,,,(1) crossing (2) hour (by the clock),(1) traverse (2) heure d'horloge,,,ikaaq,,,.
ikaarut,,,n,,,,,,,,"bridge; pedestrian lane of street, etc.",pont; voie pour pi�tons d'une rue,,,ikaaq,,,.
ikajuut,,,n,,,,,,,,head strap for carrying heavy weights,lani�re de t�te pour porter des charges lourdes,,,ikajuq,,,.
ikaut,,,n,,,,,,,,"bridge; pedestrian lane of street, etc.",pont; voie pour pi�tons d'une rue,,,ikaaq,,,.
ikiarpavvik,,,n,,,,,,,,month of February,mois de f�vrier,,,ikiaq,,,.
ikittartuq,,,n,,,,,,,,flashlight,torche �lectrique,,,ikit,,,.
ikittaq,,,v,i,,,,,,,to flash on an off,clignoter,,,,,,.
ikkaqquq,,,n,,,,,,,,reef; shoal; shallow,"r�cif, �cueil; bas-fond; haut-fonds",,,ikkat,,,.
ikkarit,,,v,i,,,,,,,to be stuck or grounded on a reef or shallow,�tre coinc� ou immobilis� sur un r�cif ou les hauts-fonds,,,ikkat,,,.
ikkarsaut,,,n,,,,,,,,methyl hydrate; priming fluid,alcool m�thylique; liquide inflammable pour amorcer un feu,,,,,,.
ikpiarjuk,,1,v,t,,,,,,si/1vv,to /put s.t. in a bag,/mettre qqch. dans un sac,,,,,,.
ikpiarjuk,,2,n,,,,,,,,bag; pouch; pocket; block or push-in magazine for rifle,sac; poche; pochette; �tui � munitions; magasin d'une carabine,,,,,,.
ikpiugaq,,,n,,,,,,,,sharp drop in land or terrain,baisse abrupte de terrain,,,ikpik,,,.
iksarvik,,,n,,,,,,,,loading dock; wharf,quai de chargement; embarcad�re,,wchb,,,,.
iksiarjuaq,,,n,,,,,,,,Roman Catholic priest,pr�tre catholique romain,,wchb,iksiq,,,.
iksiqqaq,,,n,,,,,,,,letter; writing,lettre; qqch. �crit,,padl,iksiq,,,.
iksiraut,,,n,,,,,,,,pen; pencil; writing implement,plume; crayon; instrument pour �crire,,padl,iksiq,,,.
iksirvik,,,n,,,,,,,,box,bo�te,,northbaffin,iksiq,,,.
ikuluk,,1,v,i,,,,,,,"to make sound, speaking of running or dancing feet or hoof beats","faire du bruit, en parlant de pas de course, de danse, de galop",,,,,,.
ikumaaluk,,,n,,,,,,,,hell,enfer,,,ikuma,n,1,.
ikumajaq,,,n,,,,,,,,candle,chandelle,,,ikuma,n,1,.
ikumak,,,v,i,,,,,,,to tend the flame or the wick on the lamp,entretenir la flamme ou la m�che d'une lampe,,,ikuma,n,1,.
ikumalik,,,n,,,,,,,,motor-boat,bateau � moteur,,,ikuma,n,1,.
ikumirvik,,,n,,,,,,,,place to set engine,endroit o� placer le moteur,,,,,,.
ikusik,,2,n,,,,,,,,elbow,coude,,,ikut,,,.
ikuutaq,,,n,,,,,,,,drill,perceuse,,,,,,.
ikuutaq,,,v,t,,,,,,si/1vv,[-R]to /drill or /bore holes in s.t.,[-R]/percer qqch. d'un trou,,,,,,.
ikuvit,,,v,i,,,,,,,to lean on something with elbow or arm,s'appuyer sur qqch. avec le coude ou le bras,,,ikut,,,.
ilaanni,,2,a,,,,,,,,sometimes,quelquefois,,,,,,.
ilaannikkut,,,a,,,,,,,,from time to time,de temps en temps,,,ilaanni,,,.
ilakku,,,n,,,,,,,,"part, portion","partie, portion",,,ila,,,.
ilaksaut,,,n,,,,,,,,(1) baking powder (2) lubricating oil,(1) poudre � p�te (2) huile lubrifiante,,,,,,.
ilanniq,,,n,,,,,,,,patch on shoulder-blade of atigi,pi�ce sur l'�paule de l'atigi,,northbaffin,,,,.
ilaut,,,n,,,,,,,,ice scoop,cuill�re � glace,,,ilaaq,,2,.
iliarjuk,,1,n,,,,,,,,orphan,orphelin,,,,,,.
iliijaq,,1,n,,,,,,,,tortured or maimed person,personne tortur�e ou estropi�e,,,,,,.
iliijaqsuq,,1,v,i,,,,,,,to torture or maim someone with intent,torturer ou estropier qqn intentionnellement,,,iliijaq,n,1,.
ilijaq,,,n,,,,,,,,meat cache,cache de viande,,,ili,,,.
ilingniq,,,n,,,,,,,,patch on shoulder-blade of atigi,pi�ce sur l'�paule de l'atigi,,wchb,,,,.
ilinniaq,,,v,i,,,,,,,to learn; to study; to go to school,apprendre; �tudier; aller � l'�cole,,,ilit,,,.
ilinniaqtit,,,v,t,,,,,,,to make oneself learn,faire que l'on apprend,,,ilinniaq,,,.
ilinniariaq,,,n,,,,,,,,student; school-child,�tudiant; �colier,,,ilinniaq,,,.
ilinniarut,,,n,,,,,,,,school-book; school-text,livre d'�cole,,,ilinniaq,,,.
